Shiper rất nhiệt tình và tận tâm, giao hàng nhanh, đóng gói cẩn thận, thử máy rất tốt trong <aspect> tầm giá </aspect> Hy vọng máy xài bền.	tầm giá	2
Máy tốt, <aspect> pin </aspect> nhanh hết	pin	0
Cái này nhỏ gọn, dùng treo ở cầu thang rất tiện. <aspect> Hàng </aspect> oknha.	Hàng	2
hàng chính hãng được tặng kèm <aspect> ốp lưng </aspect> thấy rất ổn trong tầm giá.	ốp lưng	2
Hàng chính hãng, mới Nguyên seal, <aspect> đóng gói </aspect> cẩn thận, giao hàng rấtnhanh. Uytính, chất lượngtốt.	đóng gói	2
Đợt này mua tặng 2 cây trắng đen nhưng quên chụp lại câytrắng. Mọi người xem đỡ cây đennha. Cũng y chang sản xuất2GB mới nguyênseal. Giờ kiếm đỏ mắt ko thấy shop nào bán chính hãng mà 2023đâu, ngay cả Apple storeVN. Mấy đợt trước mua 12 13 14 Tiki cũng uy tín nhưvầy. Không lỗi trầy mópméo, <aspect> màn hình </aspect> kođốm.	màn hình	2
Màn hình hơinhỏ, <aspect> chữ </aspect> mảnh hơi khó nhìn	chữ	0
<aspect> Điện thoại </aspect> nhỏgọn, giao hàng cựcnhanh, mọi người nên mua nha	Điện thoại	2
<aspect> Sản phẩm </aspect> chấtlượng, nhìn mẫu mã như giớithiệu, dùng thử thấy ok, lần đầu tiên đặt hàng điện tửonline, cảm thấy rất hàilòng,	Sản phẩm	2
<aspect> Máy </aspect> chính hãng hàng ok sẽ ủng hộ	Máy	1
giao hang hơilâu. Nhưng <aspect> san phâm </aspect> dungok.	san phâm	2
<aspect> Sản phẩm </aspect> tốt, hàng chínhhãng. Rẻ so vớichất lượng. Giao hàng lâuquá, mình bị trễ 3ngày.	Sản phẩm	1
đúng như hàng đã đặt <aspect> chất lượng </aspect> tốt, đóng gói kỹ.!!!	chất lượng	2
Sạc bị nóngmáy. Có ai bị giống mìnhkhông? Mình mua sạc iphone chính hãng ở. Giao hàng nhanh nhưng <aspect> shipper </aspect> hơi khóchịu. Đóng góikỹ.	shipper	0
Cty tôi đang giai đoạn sửa chữa điềuchỉnh, cầm điện thoại không dây đi cách cả 20m nằm lệch tầng mà vẫn bắt sóng tốt nghe nói rõ, <aspect> pin </aspect> thì kháổn.	pin	2
Mình mua trảgóp, Đã nhận hàng hôm27/12/2021 nhưng quên đánhgiá.Hàng giao đúnghẹn.đc kiểm hàng trước khinhận.nhìn máy khámướt.có 1 lỗi nhỏ xíu ở cạnh của máy nhưng vẫn chấp nhậnđc.khởi động cài đặt máy có sẵn89 pin sau đó có bị hao đi cũng nhanh chắc do quá trình cài đặt dẫn đếnhao. Mình sd hnay là 5 ngày thì có bị tình trạng gọi bị mất tiếng trong lúc gọi nên khá lo mua fai hànglỗi. Sau đó có vô đánh giá của bạn nào mua trước gặp fai lỗi nay nên có chỉnh lại âm lượng thì okrồi.k bit mai co bi laik.Mình mua đc sale400k.sau 1 tuần thì giảm tiếp nên hơi bịtiếc.pin thì xài ít thì đc 2ngày.xài nhiều thì 1ngày.k bị nóngmáy.hàng <aspect> gói </aspect> cẩn thận có tem của tiki trước khi khuihộp.kích hoạt bảo hành đã được bật trước 1ngày.máy sx2021. Lần đầu mua hàng điện tử trên mạng nhưng khá antâm.hi vọng k gặp thêm lỗi gì trong qtsd.	gói	2
<aspect> Hàng </aspect> chuẩn chínhhãng, giá tốt	Hàng	1
